time,data/763/norm1
0,0.19031343
40,0.19031343
90,0.19040498
140,0.19040498
189,0.19040498
240,0.19046602
290,0.19049653
340,0.19049653
390,0.19052705
440,0.19055757
489,0.19055757
540,0.19055757
589,0.19055757
639,0.19055757
689,0.19058809
739,0.19058809
789,0.19058809
839,0.19058809
889,0.19064912
939,0.19064912
989,0.19064912
1039,0.19064912
1089,0.19083224
1139,0.19083224
1189,0.19083224
1239,0.19083224
1289,0.19089328
1339,0.19089328
1389,0.19089328
1439,0.19089328
1489,0.19098483
1539,0.19098483
1589,0.19098483
1639,0.19098483
1689,0.19104587
1739,0.19104587
1789,0.19104587
1838,0.19104587
1890,0.19107638
1939,0.1911069
1989,0.1911069
2039,0.1911069
2089,0.1911069
2139,0.19116795
2189,0.19116795
2239,0.19116795
2289,0.19116795
2339,0.19122899
2389,0.19122899
2439,0.19122899
2489,0.19122899
2539,0.19135106
2589,0.19135106
2639,0.19135106
2689,0.19135106
2739,0.19141209
2789,0.19141209
2839,0.19141209
2889,0.19141209
2939,0.19147313
2989,0.19147313
3039,0.19147313
3089,0.19147313
3139,0.19153416
3189,0.19153416
3239,0.19153416
3289,0.19153416
3339,0.19162571
3389,0.19162571
3439,0.19162571
3489,0.19162571
3539,0.19168676
3589,0.19168676
3639,0.19168676
3689,0.19168676
3739,0.1917478
3789,0.1917478
3839,0.1917478
3889,0.1917478
3939,0.19183935
3989,0.19183935
4039,0.19183935
4089,0.19183935
4139,0.19183935
4189,0.1919309
4239,0.1919309
4289,0.1919309
4339,0.1919309
4389,0.19196142
4439,0.19196142
4489,0.19196142
4539,0.19196142
4588,0.19202246
4639,0.19202246
4689,0.19202246
4739,0.19202246
4789,0.19211401
4839,0.19211401
4889,0.19214454
4939,0.19220558
4989,0.19220558
5039,0.19220558
5089,0.19220558
5139,0.19220558
5189,0.1922361
5239,0.1922361
5289,0.1922361
5339,0.1922361
5389,0.19226661
5439,0.19226661
5489,0.19226661
5539,0.19226661
5589,0.19235817
5639,0.19235817
5690,0.19235817
5739,0.19235817
5789,0.1924192
5839,0.1924192
5889,0.1924192
5939,0.1924192
5989,0.19248024
6039,0.19248024
6089,0.19248024
6140,0.19248024
6189,0.19254127
6239,0.19254127
6289,0.19254127
6339,0.19254127
6389,0.19254127
6439,0.1926023
6489,0.1926023
6539,0.1926023
6589,0.1926023
6639,0.19272439
6689,0.19272439
6739,0.19272439
6789,0.19272439
6839,0.19275491
6889,0.19275491
6939,0.19275491
6989,0.19275491
7039,0.19287698
7089,0.19287698
7139,0.19287698
7189,0.19287698
7239,0.19293801
7289,0.19293801
7339,0.19293801
7389,0.19293801
7439,0.19302957
7489,0.19302957
7539,0.19302957
7588,0.19302957
7639,0.1930906
7689,0.1930906
7739,0.1930906
7789,0.1930906
7839,0.19312114
7889,0.19312114
7939,0.19312114
7989,0.19312114
8039,0.19321269
8089,0.19321269
8139,0.19321269
8189,0.19321269
8239,0.1932432
8289,0.19327372
8339,0.19327372
8389,0.19327372
8439,0.19327372
8489,0.19333476
8539,0.19333476
8589,0.19333476
8639,0.19333476
8689,0.19342631
8739,0.19342631
8789,0.19342631
8839,0.19342631
8889,0.19345683
8939,0.19345683
8989,0.19345683
9039,0.19345683
9089,0.19354838
9139,0.19354838
9189,0.19354838
9239,0.19354838
9289,0.19363995
9339,0.19363995
9389,0.19363995
9439,0.19363995
9489,0.19367047
9539,0.19367047
9589,0.19367047
9639,0.19367047
9689,0.19370098
