time,data/763/norm1,data/1433/norm1
0,0.2809534,-0.024231697
41,0.2809534,-0.024231697
88,0.2809534,-0.024231697
137,0.2809534,-0.024231697
186,0.28101444,-0.024323253
236,0.2811365,-0.02438429
286,0.2811365,-0.02438429
336,0.2811365,-0.02438429
386,0.2811365,-0.02438429
436,0.28122807,-0.024414808
486,0.28122807,-0.024414808
536,0.28122807,-0.024414808
586,0.28122807,-0.024414808
636,0.28141117,-0.024567401
686,0.28141117,-0.024567401
736,0.28141117,-0.024567401
786,0.28141117,-0.024567401
836,0.28156376,-0.024536882
886,0.28156376,-0.024536882
936,0.28156376,-0.024536882
986,0.28156376,-0.024536882
1036,0.2817469,-0.024719993
1086,0.2817469,-0.024719993
1136,0.2817469,-0.024719993
1186,0.2817469,-0.024719993
1236,0.28183845,-0.024719993
1286,0.28183845,-0.024719993
1336,0.28183845,-0.024719993
1386,0.28183845,-0.024719993
1436,0.28202155,-0.024872586
1486,0.28202155,-0.024872586
1536,0.28202155,-0.024872586
1586,0.28202155,-0.024872586
1636,0.28220466,-0.024903104
1686,0.28220466,-0.024903104
1736,0.28220466,-0.024903104
1786,0.28220466,-0.024903104
1836,0.28232673,-0.025025178
1886,0.28232673,-0.025025178
1936,0.28232673,-0.025025178
1986,0.28232673,-0.025025178
2036,0.28238776,-0.025086215
2086,0.28238776,-0.025086215
2136,0.28238776,-0.025086215
2186,0.28238776,-0.025086215
2236,0.2824488,-0.025147252
2286,0.28250983,-0.025208289
2336,0.28250983,-0.025208289
2386,0.28250983,-0.025208289
2436,0.28250983,-0.025208289
2486,0.28269294,-0.025208289
2536,0.28269294,-0.025208289
2586,0.28269294,-0.025208289
2636,0.28269294,-0.025208289
2686,0.28278452,-0.025330363
2736,0.28278452,-0.025330363
2786,0.28278452,-0.025330363
2836,0.28278452,-0.025330363
2886,0.2829371,-0.0253914
2936,0.2829371,-0.0253914
2986,0.2829371,-0.0253914
3036,0.2829371,-0.0253914
3086,0.28302866,-0.025482956
3136,0.28302866,-0.025482956
3186,0.28302866,-0.025482956
3236,0.28302866,-0.025482956
3286,0.28321177,-0.025543993
3336,0.28321177,-0.025543993
3386,0.28321177,-0.025543993
3436,0.28321177,-0.025543993
3486,0.28336436,-0.025666067
3536,0.28336436,-0.025666067
3586,0.28336436,-0.025666067
3636,0.28336436,-0.025666067
3686,0.28348643,-0.025788141
3736,0.28348643,-0.025788141
3786,0.28348643,-0.025788141
3836,0.28348643,-0.025788141
3886,0.28366953,-0.025818659
3936,0.28366953,-0.025818659
3986,0.28366953,-0.025818659
4036,0.28366953,-0.025818659
4086,0.28382215,-0.025940733
4136,0.28382215,-0.025940733
4186,0.28382215,-0.025940733
4236,0.28382215,-0.025940733
4286,0.28400525,-0.02600177
4336,0.28400525,-0.025971252
4386,0.28400525,-0.025971252
4436,0.28400525,-0.025971252
4486,0.28400525,-0.025971252
4536,0.28412732,-0.026093327
4586,0.28412732,-0.026093327
4636,0.28412732,-0.026093327
4686,0.28412732,-0.026093327
4736,0.2842494,-0.026123844
4786,0.2842494,-0.026123844
4836,0.2842494,-0.026123844
4886,0.2842494,-0.026123844
4936,0.28437147,-0.026245918
4986,0.28437147,-0.026245918
5036,0.28437147,-0.026245918
5086,0.28437147,-0.026245918
5136,0.28452405,-0.026245918
5186,0.28452405,-0.026245918
5236,0.28452405,-0.026245918
5286,0.28452405,-0.026245918
5336,0.28467667,-0.026367992
5386,0.28467667,-0.026367992
5436,0.28467667,-0.026367992
5486,0.28467667,-0.026367992
5536,0.28476822,-0.026367992
5586,0.28476822,-0.026367992
5636,0.28476822,-0.026367992
5686,0.28476822,-0.026367992
5736,0.28495133,-0.026520586
5786,0.28495133,-0.026520586
5836,0.28495133,-0.026520586
5886,0.28495133,-0.026520586
